0이름,1사용여부,2등급(성),3레벨,4랭크,"5전용장비 레벨(미장착시 0),6"1번째템 (강화레벨,미장착 시 -1)",2템,3템,4템,5템,6템
히요리,1,6,181,19,190,5,5,5,5,-1,-1
유이,1,6,181,19,190,5,5,5,5,5,5
레이,1,6,181,19,190,5,5,5,5,-1,-1
미소기,1,5,181,19,190,5,5,5,5,-1,-1
마츠리,1,5,181,19,190,5,5,5,5,-1,-1
아카리,1,6,181,19,190,5,5,5,5,-1,-1
미야코,1,5,181,19,190,5,5,5,5,-1,-1
유키,1,5,181,19,190,5,5,5,5,-1,-1
안나,1,5,181,19,190,5,5,5,5,-1,-1
마호,1,6,181,19,190,5,5,5,5,-1,-1
리노,1,6,181,19,190,5,5,5,5,-1,-1
하츠네,1,6,181,19,190,5,5,5,5,-1,-1
나나카,1,5,181,19,190,5,5,5,5,-1,-1
카스미,1,5,181,19,190,5,5,5,5,-1,-1
미사토,1,5,181,19,190,5,5,5,5,-1,-1
스즈나,1,6,181,19,190,5,5,5,5,-1,-1
카오리,1,5,181,19,190,5,5,5,5,-1,-1
이오,1,6,181,19,190,5,5,5,5,-1,-1
미미,1,5,181,19,190,5,5,5,5,-1,-1
쿠루미,1,5,181,19,190,5,5,5,5,-1,-1
요리,1,5,181,19,190,5,5,5,5,-1,-1
아야네,1,6,181,19,190,5,5,5,5,-1,-1
스즈메,1,5,181,19,190,5,5,5,5,-1,-1
린,1,5,181,19,190,5,5,5,5,-1,-1
에리코,1,5,181,19,190,5,5,5,5,-1,-1
사렌,1,6,181,19,190,5,5,5,5,-1,-1
노조미,1,5,181,19,190,5,5,5,5,-1,-1
니논,1,6,181,19,190,5,5,5,5,-1,-1
시노부,1,5,181,19,190,5,5,5,5,-1,-1
아키노,1,6,181,19,190,5,5,5,5,-1,-1
마히루,1,6,181,19,190,5,5,5,5,-1,-1
유카리,1,6,181,19,190,5,5,5,5,-1,-1
쿄우카,1,5,181,19,190,5,5,5,5,-1,-1
토모,1,5,181,19,190,5,5,5,5,-1,-1
시오리,1,5,181,19,190,5,5,5,5,-1,-1
아오이,1,5,181,19,190,5,5,5,5,-1,-1
치카,1,5,181,19,190,5,5,5,5,-1,-1
마코토,1,5,181,19,190,5,5,5,5,-1,-1
이리야,1,5,181,19,190,5,5,5,5,-1,-1
쿠우카,1,5,181,19,190,5,5,5,5,-1,-1
타마키,1,6,181,19,190,5,5,5,5,-1,-1
쥰,1,5,181,19,190,5,5,5,5,-1,-1
미후유,1,6,181,19,190,5,5,5,5,-1,-1
시즈루,1,6,181,19,190,5,5,5,5,-1,-1
미사키,1,5,181,19,190,5,5,5,5,-1,-1
미츠키,1,5,181,19,190,5,5,5,5,-1,-1
리마,1,6,181,19,190,5,5,5,5,-1,-1
모니카,1,5,181,19,190,5,5,5,5,-1,-1
츠무기,1,5,181,19,190,5,5,5,5,-1,-1
아유미,1,5,181,19,190,5,5,5,5,-1,-1
루카,1,5,181,19,190,5,5,5,5,-1,-1
지타,1,5,181,19,190,5,5,5,5,-1,-1
페코린느,1,6,181,19,190,5,5,5,5,-1,-1
콧코로,1,6,181,19,190,5,5,5,5,-1,-1
캬루,1,6,181,19,190,5,5,5,5,-1,-1
무이미,1,5,181,19,190,5,5,5,5,-1,-1
아리사,1,5,181,19,190,5,5,5,5,-1,-1
이노리,1,5,181,19,190,5,5,5,5,-1,-1
카야,1,5,181,19,190,5,5,5,5,-1,-1
셰피,1,5,181,19,0,5,5,5,5,-1,-1
네네카,1,5,181,19,190,5,5,5,5,-1,-1
크리스티나,1,5,181,19,190,5,5,5,5,-1,-1
수페코,1,5,181,19,190,5,5,5,5,-1,-1
수코로,1,5,181,19,190,5,5,5,5,-1,-1
수즈메,1,5,181,19,190,5,5,5,5,-1,-1
수캬루,1,5,181,19,190,5,5,5,5,-1,-1
수마키,1,5,181,19,190,5,5,5,5,-1,-1
수후유,1,5,181,19,190,5,5,5,5,-1,-1
할노부,1,5,181,19,190,5,5,5,5,-1,-1
할푸딩,1,5,181,19,190,5,5,5,5,-1,-1
할사키,1,5,181,19,190,5,5,5,5,-1,-1
성치카,1,5,181,19,190,5,5,5,5,-1,-1
성루미,1,5,181,19,190,5,5,5,5,5,5
성야네,1,5,181,19,190,5,5,5,5,-1,-1
뉴요리,1,5,181,19,190,5,5,5,5,-1,-1
뉴이,1,5,181,19,190,5,5,5,5,-1,-1
신레이,1,5,181,19,190,5,5,5,5,-1,-1
발리코,1,5,181,19,190,5,5,5,5,-1,-1
발즈루,1,5,181,19,190,5,5,5,5,-1,-1
앤,1,5,181,19,190,5,5,5,5,-1,-1
루,1,5,181,19,190,5,5,5,5,-1,-1
글레어,1,5,181,19,190,5,5,5,5,-1,-1
오우카,1,5,181,19,190,5,5,5,5,-1,-1
오니논,1,5,181,19,190,5,5,5,5,-1,-1
렘,1,5,181,19,190,5,5,5,5,-1,-1
람,1,5,181,19,190,5,5,5,5,-1,-1
에밀리아,1,5,181,19,190,5,5,5,5,-1,-1
수즈나,1,5,181,19,190,5,5,5,5,-1,-1
수이오,1,5,181,19,190,5,5,5,5,-1,-1
수사렌,1,5,181,19,190,5,5,5,5,-1,-1
수코토,1,5,181,19,190,5,5,5,5,-1,-1
수오리,1,5,181,19,190,5,5,5,5,-1,-1
수마호,1,5,181,19,190,5,5,5,5,-1,-1
편오이,1,5,181,19,190,5,5,5,5,-1,-1
클로에,1,5,181,19,190,5,5,5,5,-1,-1
할쿄카,1,5,181,19,190,5,5,5,5,-1,-1
할소기,1,5,181,19,190,5,5,5,5,-1,-1
할미미,1,5,181,19,190,5,5,5,5,-1,-1
루나,1,5,181,19,190,5,5,5,5,-1,-1
성리스,1,5,181,19,190,5,5,5,5,-1,-1
성조미,1,5,181,19,190,5,5,5,5,-1,-1
성리야,1,5,181,19,190,5,5,5,5,-1,-1
뉴코로,1,5,181,19,0,5,5,5,5,-1,-1
냐루,1,5,181,19,0,5,5,5,5,-1,-1
뉴즈메,1,5,181,19,0,5,5,5,5,-1,-1
마스미,1,5,181,19,0,5,5,5,5,-1,-1
마오리,1,5,181,19,0,5,5,5,5,-1,-1
프페코,1,5,181,19,0,5,5,5,5,-1,-1
우즈키,1,5,181,19,0,5,5,5,5,-1,-1
시부린,1,5,181,19,0,5,5,5,5,-1,-1
미오,1,5,181,19,0,5,5,5,5,-1,-1
유니,1,5,181,19,0,5,5,5,5,-1,-1
치에루,1,5,181,19,0,5,5,5,5,-1,-1
레린,1,5,181,19,0,5,5,5,5,-1,-1
레히루,1,5,181,19,0,5,5,5,5,-1,-1
앨리노,1,5,181,19,0,5,5,5,5,-1,-1
앨유미,1,5,181,19,0,5,5,5,5,-1,-1
수루카,1,5,181,19,0,5,5,5,5,-1,-1
수안나,1,5,181,19,0,5,5,5,5,-1,-1
수나카,1,5,181,19,0,5,5,5,5,-1,-1
수츠네,1,5,181,19,0,5,5,5,5,-1,-1
수사토,1,5,181,19,190,5,5,5,5,-1,-1
수쥰,1,5,181,19,0,5,5,5,5,-1,-1
엔카리,1,5,181,19,0,5,5,5,5,-1,-1
엔요리,1,5,181,19,0,5,5,5,5,-1,-1
프유이,1,5,181,19,0,5,5,5,5,-1,-1
프코로,1,5,181,19,0,5,5,5,5,-1,-1
프요리,1,5,181,19,190,5,5,5,5,-1,-1
프캬루,1,5,181,19,0,5,5,5,5,-1,-1
라비리스타,1,5,181,19,0,5,5,5,5,-1,-1
할무기,1,5,181,19,0,5,5,5,5,-1,-1
할레이,1,5,181,19,0,5,5,5,5,-1,-1
할츠리,1,5,181,19,0,5,5,5,5,-1,-1
마니카,1,5,181,19,0,5,5,5,5,-1,-1
마토모,1,5,181,19,0,5,5,5,5,-1,-1
성키노,1,5,181,19,0,5,5,5,5,-1,-1
성사렌,1,5,181,19,0,5,5,5,5,-1,-1
성카리,1,5,181,19,0,5,5,5,5,-1,-1
뉴이미,1,5,181,19,0,5,5,5,5,-1,-1
뉴네카,1,5,181,19,0,5,5,5,5,-1,-1
뉴페코,1,5,181,19,0,5,5,5,5,-1,-1
의코로,1,5,181,19,0,5,5,5,5,-1,-1
의유이,1,5,181,19,0,5,5,5,5,-1,-1
수스미,1,5,181,19,0,5,5,5,5,-1,-1
신리마,1,5,181,19,0,5,5,5,5,-1,-1
신마호,1,5,181,19,0,5,5,5,5,-1,-1
신코토,1,5,181,19,0,5,5,5,5,-1,-1
성로에,1,5,181,19,0,5,5,5,5,-1,-1
성에루,1,5,181,19,0,5,5,5,5,-1,-1
시노리,1,5,181,19,0,5,5,5,5,-1,-1
시카야,1,5,181,19,0,5,5,5,5,-1,-1
작오이,1,5,181,19,0,5,5,5,5,-1,-1
작마키,1,5,181,19,0,5,5,5,5,-1,-1
